,Item,Budget Price,Mid Price,Mid/High Price,High Price
,King Bed Frame,$500.00,"$1,500.00","$3,000.00","$8,000.00"
,Mattress,"$1,300.00","$2,800.00","$5,000.00","$12,000.00"
,Mattress protector,$20.00,$60.00,$100.00,$200.00
,Sleeping Pillows,$15.00,$40.00,$100.00,$300.00
,Down Pillows,$25.00,$60.00,$150.00,$400.00
,Pillow protectors,$5.00,$25.00,$40.00,$100.00
,Sheets,$30.00,$80.00,$150.00,$300.00
,Decorative Bedding,$200.00,$350.00,$500.00,"$1,000.00"
,Throw Pillows,$35.00,$80.00,$125.00,$300.00
,Throw Blanket on Bed,$35.00,$100.00,$200.00,$300.00
,Bench or Stools,$200.00,$800.00,"$1,500.00","$3,000.00"
,Area Rug,$350.00,$800.00,"$1,500.00","$3,000.00"
,Nightstands,$350.00,$700.00,"$1,500.00","$4,000.00"
,Lamps,$100.00,$200.00,$350.00,$800.00
,Nightstand Accessories,$20.00,$60.00,$150.00,$400.00
,Curtain Set,$65.00,$140.00,$200.00,$400.00
,Curtain Rod,$40.00,$60.00,$100.00,$300.00
,Wall art,$100.00,$300.00,$800.00,"$2,000.00"
,Mirror,$200.00,$500.00,"$1,000.00","$3,000.00"
,TV,$400.00,$700.00,"$1,500.00","$3,000.00"
,TV mount,$200.00,$300.00,$300.00,$500.00
,Chair,$350.00,$800.00,"$1,500.00","$3,000.00"
,Chair Throw Pillow,$35.00,$80.00,$125.00,$300.00
,Chair Throw Blanket,$35.00,$100.00,$400.00,$800.00
,Side Table,$150.00,$500.00,"$1,500.00","$3,000.00"
,Greenery,$80.00,$250.00,$500.00,$800.00
,Floor Lamp,$150.00,$300.00,$800.00,"$2,000.00"
,Dresser,$800.00,"$1,500.00","$3,000.00","$6,000.00"
,Dresser Accessories,$25.00,$80.00,$150.00,$400.00
,Desk,$300.00,"$1,000.00","$2,500.00","$5,000.00"
,Desk Chair,$200.00,$600.00,"$1,200.00","$3,000.00"
,Desk Accessories,$30.00,$60.00,$150.00,$300.00
,Bookshelf,$250.00,$800.00,"$1,500.00","$3,000.00"
,Bunk Bed,"$1,200.00","$2,500.00","$4,000.00","$6,000.00"
,Bunk Bed Mattress,$250.00,$600.00,"$1,500.00","$4,000.00"
,Bean Bag,$150.00,$300.00,$600.00,"$1,000.00"
,Game Table,$600.00,"$1,500.00","$3,000.00","$8,000.00"
,Games,$25.00,$50.00,$100.00,$300.00
,Bar Stool,$300.00,$800.00,"$1,500.00","$4,000.00"
,Island Centerpiece,$100.00,$300.00,$500.00,$800.00
,Counter Accessories,$50.00,$125.00,$300.00,$500.00
,Kitchen Towels,$15.00,$35.00,$50.00,$80.00
,Open Shelving Decor,$60.00,$100.00,$250.00,$500.00
,Top of Cabinetry Decor,$70.00,$100.00,$250.00,$500.00
,Kitchen Runner Rug,$150.00,$300.00,$600.00,"$1,000.00"
,Dining Table,"$1,200.00","$2,500.00","$4,000.00","$10,000.00"
,Dining Chair,$300.00,$600.00,"$1,000.00","$4,000.00"
,Table Centerpiece,$100.00,$250.00,$400.00,$800.00
,Buffet or Sideboard,$800.00,"$1,500.00","$3,000.00","$8,000.00"
,Display Cabinet,"$1,200.00","$2,500.00","$4,000.00","$10,000.00"
,Sofa/Sectional,"$2,000.00","$4,000.00","$8,000.00","$15,000.00"
,Coffee Table,$800.00,"$1,800.00","$3,000.00","$6,000.00"
,Side Table,$150.00,$500.00,"$1,000.00","$3,000.00"
,TV Console,"$1,000.00","$2,500.00","$4,000.00","$8,000.00"
,Mirror,$300.00,$300.00,$400.00,$500.00
,Ottoman or Pouf,$200.00,$200.00,$200.00,$200.00
,Large Game Table,"$1,500.00","$3,000.00","$8,000.00","$10,000.00"