Kitchen,,,,,,,
Item,Small Rm Qnty,Mid Rm Qnty,Large Rm Qnty,Budget Price,Mid Price,Mid/High Price,High Price
Bar Stools,4,8,12,$300.00,$800.00,"$1,500.00","$4,000.00"
Island Center Piece,1,1,1,$100.00,$300.00,$500.00,$800.00
Counter Accessories,3,6,9,$50.00,$125.00,$300.00,$500.00
Kitchen Towels,2,4,6,$15.00,$35.00,$50.00,$80.00
Open Shelving Decor,0,8,16,$60.00,$100.00,$250.00,$500.00
Top of Cabinetry Decor,0,3,6,$70.00,$100.00,$250.00,$500.00
Kitchen Runner Rug,0,1,2,$150.00,$300.00,$600.00,"$1,000.00"
,,,,Budget Pricing,Mid Pricing,Mid/High Pricing,High Pricing
,,Small Room Totals:,,"$1,480.00","$3,945.00","$7,500.00","$18,460.00"
,,Medium Room Totals:,,"$3,700.00","$8,990.00","$17,850.00","$42,620.00"
,,Large Room Totals:,,"$5,920.00","$14,035.00","$28,200.00","$66,780.00"