Living Room,,,,,,,
Item,Small Rm Qnty,Mid Rm Qnty,Large Rm Qnty,Budget Price,Mid Price,Mid/High Price,High Price
Sofa/Sectional,1,1,2,"$2,000.00","$4,000.00","$8,000.00","$15,000.00"
Chair,2,3,4,$600.00,"$1,600.00","$2,500.00","$5,000.00"
Coffee Table,1,1,1,$800.00,"$1,800.00","$3,000.00","$6,000.00"
Side Table,2,4,4,$150.00,$500.00,"$1,000.00","$3,000.00"
TV Console,1,1,1,"$1,000.00","$2,500.00","$4,000.00","$8,000.00"
TV,1,1,1,$600.00,$800.00,"$1,000.00","$1,200.00"
TV Mount,1,1,1,$200.00,$200.00,$200.00,$200.00
Area Rug,1,1,2,$500.00,"$1,000.00","$2,500.00","$5,000.00"
Lamps (Table/Floor),2,3,4,$150.00,$300.00,$500.00,"$1,000.00"
Throw Pillows,5,8,12,$35.00,$50.00,$150.00,$400.00
Throw Blanket,3,5,8,$35.00,$50.00,$150.00,$400.00
Curtains,1,2,3,$65.00,$150.00,$300.00,$600.00
Curtain Rod,1,2,3,$40.00,$40.00,$40.00,$40.00
Wall Art,2,4,6,$100.00,$200.00,$300.00,$400.00
Greenery,1,2,3,$200.00,$200.00,$200.00,$200.00
Mirror,0,1,1,$300.00,$300.00,$400.00,$500.00
Ottoman or Pouf,0,3,6,$200.00,$200.00,$200.00,$200.00
Bookshelf,0,0,1,$500.00,$700.00,"$1,000.00","$2,000.00"
,,,,Budget Pricing,Mid Pricing,Mid/High Pricing,High Pricing
,,Small Room Totals:,,"$8,285.00","$16,890.00","$29,640.00","$58,840.00"
,,Medium Room Totals:,,"$11,215.00","$22,030.00","$37,830.00","$75,880.00"
,,Large Room Totals:,,"$16,615.00","$31,670.00","$55,420.00","$109,220.00"